term,score,,,,,,
dispute,-1,,,,,,
disputed,-1,,,,,,
disquiet,-1,,,,,,
disregard,-1,,,,,,
disrespect,-1,,,,,,
disrespectful,-1,,,,,,
disrupt,-1,,,,,,
diss,-1,,,,,,
dissapointed,-2,,,,,,
dissatisfied,-2,,,,,,
dissatisfy,-2,,,,,,
dissent,-1,,,,,,
dissolution,-2,,,,,,
dissolve,-1,,,,,,
distort,-2,,,,,,
distract,-1,,,,,,
distraught,-1,,,,,,
distress,-1,,,,,,
distressed,-2,,,,,,
distressing,-1,,,,,,
distribute,1,,,,,,
distrust,-2,,,,,,
disturb,-1,,,,,,
disturbed,-1,,,,,,
disturbing,-1,,,,,,
divert,-1,,,,,,
divest,-1,,,,,,
divine,1,,,,,,
division,-1,,,,,,
divorce,-1,,,,,,
dizziness,-1,,,,,,
dizzy,-1,,,,,,
doamback,-1,,,,,,
doback,-1,,,,,,
dodge,-1,,,,,,
dodging,-1,,,,,,
doldrums,-2,,,,,,
dolikepikin,-1,,,,,,
dolt,-2,,,,,,
domant,-2,,,,,,
dominate,-2,,,,,,
domination,-2,,,,,,
domot,1,,,,,,
dondi,-1,,,,,,
doom,-2,,,,,,
dope,-2,,,,,,
dopey,-1,,,,,,
dopy,-1,,,,,,
dork,-1,,,,,,
dormant,-2,,,,,,
dorty,-1,,,,,,
doting,1,,,,,,
dotty,-1,,,,,,
doubt,-1,,,,,,
doubtful,-1,,,,,,
douchebag,-2,,,,,,
downcast,-1,,,,,,
downfall,-2,,,,,,
downhearted,-1,,,,,,
downslope,-1,,,,,,
drab,-2,,,,,,
drag,-2,,,,,,
dragleg,-2,,,,,,
dramatic,-1,,,,,,
drastic,-1,,,,,,
dread,-1,,,,,,
dreadful,-1,,,,,,
dreary,-2,,,,,,
dribble,-1,,,,,,
drivel,-2,,,,,,
droop,-2,,,,,,
drop,-1,,,,,,
drought,-2,,,,,,
drown,-2,,,,,,
drowsiness,-1,,,,,,
drowsy,-1,,,,,,
drudge,-1,,,,,,
drunk,-1,,,,,,
dubious,-2,,,,,,
dubitable,-1,,,,,,
dull,-2,,,,,,
dumb,-2,,,,,,
dumbfound,-2,,,,,,
dump,-1,,,,,,
dumpcart,1,,,,,,
dumper,1,,,,,,
dumpling,1,,,,,,
dunce,-2,,,,,,
dundee,-1,,,,,,
dunderhead,-2,,,,,,
dungeon,-2,,,,,,
duns,-1,,,,,,
duped,-2,,,,,,
dupe,-2,,,,,,
dusty,-1,,,,,,
duty,1,,,,,,
dwell,1,,,,,,
dwindle,-2,,,,,,
dying,-2,,,,,,
dynamic ,1,,,,,,
dynamism,1,,,,,,
eager,1,,,,,,
earn,1,,,,,,
earnest,1,,,,,,
ease,1,,,,,,
easie,1,,,,,,
easier,1,,,,,,
easily,1,,,,,,
easiness,1,,,,,,
easing,1,,,,,,
easy,1,,,,,,
easygoing,2,,,,,,
eccentric,-1,,,,,,
eccentricity,-1,,,,,,
ecsta,1,,,,,,
edify,1,,,,,,
edoncast,-1,,,,,,
edorcast,-1,,,,,,
educative,1,,,,,,
eejit,-1,,,,,,
effective,1,,,,,,
efficient,1,,,,,,
effortlessly,-1,,,,,,
efiko,1,,,,,,
egotis,-1,,,,,,
egress,1,,,,,,
eject,-1,,,,,,
elaborate,1,,,,,,
elapse,-1,,,,,,
elegan,2,,,,,,
elegy,-1,,,,,,
elevate,1,,,,,,
eliminate,-1,,,,,,
elimination,-1,,,,,,
eloquent,1,,,,,,
elucidate,1,,,,,,
elude,-1,,,,,,
elusive,-1,,,,,,
embarrass,-1,,,,,,
embarrassed,-1,,,,,,
embarrassing,-1,,,,,,
embellish,1,,,,,,
embolden,1,,,,,,
embrace,1,,,,,,
emerge,1,,,,,,
emergencies,-2,,,,,,
emergency,-2,,,,,,
emotional,-1,,,,,,
empower,1,,,,,,
empt,-1,,,,,,
emptiness,-1,,,,,,
empty,-1,,,,,,
enamour,-1,,,,,,
enchant,-1,,,,,,
encompass,1,,,,,,
encourage,1,,,,,,
encroach,-2,,,,,,
endam,1,,,,,,
endanger,-2,,,,,,
endearing,2,,,,,,
endorse,1,,,,,,
endow,1,,,,,,
endure,1,,,,,,
enduring,1,,,,,,
enemy,-2,,,,,,
energize,1,,,,,,
engage,1,,,,,,
engaging,1,,,,,,
engagingly,2,,,,,,
engrave,-1,,,,,,
engross,1,,,,,,
engrossed,-1,,,,,,
engulf,-1,,,,,,
enhance,1,,,,,,
enhanced,1,,,,,,
enjoy,1,,,,,,
enjoyable,1,,,,,,
enlarge,1,,,,,,
enlighten,1,,,,,,
enlightened,1,,,,,,
enlightening,1,,,,,,
enough,1,,,,,,
enough,1,,,,,,
enraged,-1,,,,,,
enrich,1,,,,,,
enslave,-1,,,,,,
entangle,-2,,,,,,
enthusiastic,1,,,,,,
entomb,-1,,,,,,
entrap,-1,,,,,,
entreat,-2,,,,,,
envious,-1,,,,,,
envy,-1,,,,,,
enwrapped,-1,,,,,,
epidemic,-2,,,,,,
epileptic,-2,,,,,,
epithet,-2,,,,,,
epp,1,,,,,,
equal,1,,,,,,
equanimity,1,,,,,,
equivocal,-2,,,,,,
eradicate,-1,,,,,,
erase,-2,,,,,,
erode,-2,,,,,,
erosion,-2,,,,,,
err,-2,,,,,,
erroneous,-1,,,,,,
erroneously,-1,,,,,,
error,-2,,,,,,
erupt,-2,,,,,,
eruption,-1,,,,,,
escalate,-1,,,,,,
esoteric,-2,,,,,,
espouse,1,,,,,,
estranged,-2,,,,,,
esurient,-1,,,,,,
evade,-1,,,,,,
evanesce,-1,,,,,,
evasion,-1,,,,,,
everlasting,1,,,,,,
evict,-1,,,,,,
evil,-2,,,,,,
evoke,-1,,,,,,
exact,1,,,,,,
excel,1,,,,,,
excellence,1,,,,,,
excellent,1,,,,,,
exceptional,2,,,,,,
exceptionally,1,,,,,,
excess,-1,,,,,,
excessive,-1,,,,,,
excessively,-1,,,,,,
excit,1,,,,,,
excite,1,,,,,,
excited,1,,,,,,
exciteddddddd,1,,,,,,
exciting,1,,,,,,
exclaim,-1,,,,,,
exclude,-1,,,,,,
exclusion,-1,,,,,,
excommunicate,-1,,,,,,
excoriate,-1,,,,,,
excrement,-1,,,,,,
excruciate,-1,,,,,,
excruciating,-1,,,,,,
exculpate,-1,,,,,,
execration,-1,,,,,,
execute,-1,,,,,,
exempt,-1,,,,,,
exhaust,-2,,,,,,
exhort,1,,,,,,
exile,-2,,,,,,
exit,-1,,,,,,
exonerate,-1,,,,,,
expatiate,1,,,,,,
expedient,-2,,,,,,
expel,-1,,,,,,
expense,-2,,,,,,
expensive,-1,,,,,,
expert,2,,,,,,
expire,-1,,,,,,
expired,-1,,,,,,
expletive,-1,,,,,,
explode,-2,,,,,,
exploit,-1,,,,,,
explosion,-2,,,,,,
explosive,-2,,,,,,
expose,-1,,,,,,
exposit,1,,,,,,
extinct,-2,,,,,,
extinguish,-1,,,,,,
extraordinary,1,,,,,,
extravagant,-1,,,,,,
extravagantly ,-1,,,,,,
extreme,-1,,,,,,
exuberant,-1,,,,,,
eyinole,-2,,,,,,
fab,1,,,,,,
fabulous,1,,,,,,
facile,1,,,,,,
facilitate,1,,,,,,
fade,-1,,,,,,
faggot,-2,,,,,,
fail,-2,,,,,,
failed,-2,,,,,,
faint,-2,,,,,,
faith,1,,,,,,
faithful,1,,,,,,
faithless,-1,,,,,,
fake,-2,,,,,,
fall ,-1,,,,,,
fallacy,-2,,,,,,
fallout,-2,,,,,,
falsehood,-2,,,,,,
falsely,-1,,,,,,
falsify,-1,,,,,,
falter,-2,,,,,,
famine,-2,,,,,,
famish,-1,,,,,,
famished,-2,,,,,,
fanatic,-2,,,,,,
fantabulous,1,,,,,,
fantastic,1,,,,,,
fantastical,1,,,,,,
farce,-2,,,,,,
fascinate,-1,,,,,,
fascist,-2,,,,,,
fashi,-1,,,,,,
fast,1,,,,,,
fasten,1,,,,,,
faster,1,,,,,,
fat,1,,,,,,
fatal,-2,,,,,,
fathead,-1,,,,,,
fatigue,-1,,,,,,
fatty,-1,,,,,,
fault,-2,,,,,,
faulty,-2,,,,,,
favor,1,,,,,,
favorable,1,,,,,,
favorite,1,,,,,,
favoritism,-2,,,,,,
favour,1,,,,,,
favourable,1,,,,,,
favourite,1,,,,,,
favouritism,-2,,,,,,
fear,-1,,,,,,
fear,-1,,,,,,
fear ,-1,,,,,,
feared,-1,,,,,,
fearful,-1,,,,,,
fearing,-1,,,,,,
fearless,1,,,,,,
fears,-1,,,,,,
fearsome,-1,,,,,,
feeble,-2,,,,,,
feign,-1,,,,,,
feint,-2,,,,,,
felicitate,-1,,,,,,
fell,-1,,,,,,
fence,-1,,,,,,
feroc,-1,,,,,,
fervent,1,,,,,,
fervid,1,,,,,,
feud,-1,,,,,,
fever,-1,,,,,,
feverish,-1,,,,,,
fiasco,-1,,,,,,
fickle,-1,,,,,,
fiddle,-1,,,,,,
fidget,-1,,,,,,
fiend,-1,,,,,,
fierce,-1,,,,,,
fiery,-2,,,,,,
fiesta,1,,,,,,
fight,-1,,,,,,
fighter,1,,,,,,
filth,-1,,,,,,
filthy,-1,,,,,,
fine,1,,,,,,
fine,2,,,,,,
finish,1,,,,,,
fire,-1,,,,,,
fired,-1,,,,,,
fist,-2,,,,,,
fit,1,,,,,,
flagrant,-2,,,,,,
flame,-1,,,,,,
flamed,-1,,,,,,
flashy,-1,,,,,,
flatter,1,,,,,,
flaw,-2,,,,,,
flawless,2,,,,,,
fled,-2,,,,,,
flee,-1,,,,,,
fleece,-1,,,,,,
fleeting,-2,,,,,,
flenjor,2,,,,,,
flex,1,,,,,,
flexible,1,,,,,,
flexing,2,,,,,,
flimsy,-2,,,,,,
fling,-1,,,,,,
flirt,2,,,,,,
flock,1,,,,,,
flog,-1,,,,,,
flood,-1,,,,,,
flop,-2,,,,,,
flounder,-2,,,,,,
flourish,2,,,,,,
fluctuate,-1,,,,,,
fluent,1,,,,,,
flummox,-1,,,,,,
flunk,-1,,,,,,
flush,-1,,,,,,
foe,-1,,,,,,
foetid,-1,,,,,,
foible,-2,,,,,,
fold,-1,,,,,,
fond,1,,,,,,
fondly,1,,,,,,
fondness,1,,,,,,
fool,-1,,,,,,
foolish,-1,,,,,,
forbid,-1,,,,,,
forbiddance ,-1,,,,,,
forbidding,-1,,,,,,
force,-1,,,,,,
forced,-1,,,,,,
forcefully,-1,,,,,,
foreboding,-2,,,,,,
foreign,-1,,,,,,
forfeit,-1,,,,,,
forgave,1,,,,,,
forge,-2,,,,,,
forged,-2,,,,,,
forgery ,-2,,,,,,
forgetfulness,-2,,,,,,
forgive,1,,,,,,
forlorn,-1,,,,,,
formidable,-2,,,,,,
forming,-1,,,,,,
forsake,-1,,,,,,
fortunate,1,,,,,,
fortunately,1,,,,,,
fortune,1,,,,,,
foster,1,,,,,,
fought,-1,,,,,,
foul,-1,,,,,,
founder,-2,,,,,,
fox,-1,,,,,,
fracture,-2,,,,,,
fradulent,-2,,,,,,
fragile,-2,,,,,,
frantic,-2,,,,,,
fraud,-2,,,,,,
frauded,-2,,,,,,
frauding,-2,,,,,,
fraudsters,-2,,,,,,
fraudulent,-2,,,,,,
fraudulently,-2,,,,,,
fraught,-2,,,,,,
freak,-1,,,,,,
freakish,-1,,,,,,
freaky,-1,,,,,,
free,1,,,,,,
freehand,1,,,,,,
fren,1,,,,,,
fret,-1,,,,,,
fretsaw,-1,,,,,,
friend,1,,,,,,
friendly,1,,,,,,
fright,-1,,,,,,
frightening,-1,,,,,,
frigid,-1,,,,,,
frigidity,-1,,,,,,
frigidness,-1,,,,,,
fritter,-1,,,,,,
frivolous,-2,,,,,,
frolic,1,,,,,,
frosh,1,,,,,,
frown,-2,,,,,,
fruitful,1,,,,,,
fruitless,-1,,,,,,
frustrate,-2,,,,,,
frustrated,-2,,,,,,
frustrating,-2,,,,,,
frustration,-2,,,,,,
fuck,-2,,,,,,
fucked,-2,,,,,,
fucker,-2,,,,,,
fuckface,-1,,,,,,
fuckin,-1,,,,,,
fucks,-1,,,,,,
fuckwit,-2,,,,,,
fuctard,-2,,,,,,
fud,-1,,,,,,
fuddle,-1,,,,,,
fudge,-1,,,,,,
fugitive,-2,,,,,,
fugly,-1,,,,,,
fullground,1,,,,,,
fumble,-1,,,,,,
fume,-1,,,,,,
fumes,-1,,,,,,
fuming,-1,,,,,,
fun,2,,,,,,
funi,1,,,,,,
funn,2,,,,,,
funnel,1,,,,,,
funny,1,,,,,,
furious,-1,,,,,,
fury,-1,,,,,,
fuss,-1,,,,,,
fussy,-1,,,,,,
futility,-2,,,,,,
gag,-1,,,,,,
gaga,-1,,,,,,
gain,1,,,,,,
gall,-1,,,,,,
galore,1,,,,,,
gamble,-1,,,,,,
gaol,-1,,,,,,
garbage,-1,,,,,,
garish,-1,,,,,,
gash,-2,,,,,,
gassed,-2,,,,,,
gaudy,-2,,,,,,
gaudy,-1,,,,,,
gay,-1,,,,,,
gbadun,1,,,,,,
gbagam,1,,,,,,
gbagan,1,,,,,,
gbam,1,,,,,,
gbaski,1,,,,,,
gbeborun,-1,,,,,,
gbedu,1,,,,,,
gbege,-2,,,,,,
gbola,-2,,,,,,
gbosa,-1,,,,,,
gbosas,-1,,,,,,
geek,-1,,,,,,
generous,1,,,,,,
genius,2,,,,,,
gentle,2,,,,,,
gentler,1,,,,,,
gentlest,1,,,,,,
gently,2,,,,,,
gently,1,,,,,,
genuine,1,,,,,,
genuinely,1,,,,,,
germ,-2,,,,,,
getluck,1,,,,,,
getmind,2,,,,,,
ghastly,-2,,,,,,
ghetto,-2,,,,,,
gibberi,-2,,,,,,
gidigba,1,,,,,,
gifted,1,,,,,,
gigantic,1,,,,,,
gimcrack,-1,,,,,,
gimpy,-1,,,,,,
ginga,2,,,,,,
ginger ,2,,,,,,
gistin,1,,,,,,
give up,-1,,,,,,
givemind,1,,,,,,
glad,2,,,,,,
gladden,2,,,,,,
gladly,2,,,,,,
gladness,2,,,,,,
glamor,2,,,,,,
glamour,2,,,,,,
glare,-2,,,,,,
glitch,-1,,,,,,
glitter,1,,,,,,
gloat,-2,,,,,,
gloom,-1,,,,,,
glorification,-2,,,,,,
glory,2,,,,,,
glum,-1,,,,,,
gmbo,1,,,,,,
goalless,-1,,,,,,
goddam,-1,,,,,,
goddamn,-1,,,,,,
good,2,,,,,,
goodness,1,,,,,,
goodnews,1,,,,,,
goosy,-1,,,,,,
gorgeous,2,,,,,,
gossip,-1,,,,,,
grab,-2,,,,,,
grabby,-1,,,,,,
grace,1,,,,,,
graced,2,,,,,,
graceful,1,,,,,,
graces,2,,,,,,
gracil,1,,,,,,
gracious,1,,,,,,
gragra,-1,,,,,,
grand,1,,,,,,
grande,2,,,,,,
grandiloquent,1,,,,,,
grapple,-2,,,,,,
grateful,1,,,,,,
gratuitous,-2,,,,,,
grave,-1,,,,,,
gravel,-1,,,,,,
gravid,1,,,,,,
great,2,,,,,,
greatest,2,,,,,,
greatful,2,,,,,,
greatly,2,,,,,,
gree,1,,,,,,
greed,-1,,,,,,
greedy,-1,,,,,,
grief,-1,,,,,,
grieve,-1,,,,,,
grievous,-1,,,,,,
grim,-1,,,,,,
grime,-1,,,,,,
grin,2,,,,,,
grinn,2,,,,,,
grins,2,,,,,,
grisly,-1,,,,,,
grizzly,-2,,,,,,
groove,1,,,,,,
groovy,2,,,,,,
gross,-1,,,,,,
grossly,-1,,,,,,
grotesque,-2,,,,,,
grouch,-2,,,,,,
groucho,1,,,,,,
growl,-2,,,,,,
grr,-1,,,,,,
grudge,-2,,,,,,
gruesome,-1,,,,,,
gruff,-2,,,,,,
guard,1,,,,,,
guerrilla,-2,,,,,,
guilt,-1,,,,,,
guiltless,1,,,,,,
guilty,-1,,,,,,
guise,-2,,,,,,
gullible,-2,,,,,,
gumbodi,-1,,,,,,
gun,-2,,,,,,
gunmen,-2,,,,,,
guru,2,,,,,,
gust,-1,,,,,,
guyman,-1,,,,,,
h8,-2,,,,,,
ha,1,,,,,,
hack,-2,,,,,,
hacked,-2,,,,,,
hag,-2,,,,,,
haggard,-2,,,,,,
haha,2,,,,,,
hailing,1,,,,,,
hala,1,,,,,,
halfwit,-2,,,,,,
halla,1,,,,,,
hammer,2,,,,,,
handicap,-2,,,,,,
handsome,1,,,,,,
handsomely,1,,,,,,
handy,1,,,,,,
hang,-1,,,,,,
hangdog,-1,,,,,,
hangover,-1,,,,,,
haphazard,-2,,,,,,
hapless,-2,,,,,,
hapless,-1,,,,,,
happy,2,,,,,,
harass,-1,,,,,,
hard,-1,,,,,,
hardhearted,-1,,,,,,
hardship,-2,,,,,,
hardwork,2,,,,,,
harm,-2,,,,,,
harmed,-2,,,,,,
harmful,-2,,,,,,
harming,-2,,,,,,
harmless,2,,,,,,
harmon,2,,,,,,
harmonic,1,,,,,,
harmonies,1,,,,,,
harmonisation,1,,,,,,
harmonization,1,,,,,,
harms,-1,,,,,,
harsh,-2,,,,,,
hassle,-2,,,,,,
hate,-2,,,,,,
hated,-2,,,,,,
hateful,-2,,,,,,
hater,-2,,,,,,
hates,-2,,,,,,
hating,-2,,,,,,
hatred,-2,,,,,,
haughty,-2,,,,,,
haunt,-2,,,,,,
havoc,-2,,,,,,
hazard,-2,,,,,,
hazardous,-2,,,,,,
haziness,-2,,,,,,
hazy,-2,,,,,,
headache,-2,,,,,,
heartbreak,-1,,,,,,
heartbreaking,-1,,,,,,
heartbroke,-1,,,,,,
hearten,1,,,,,,
heartfelt,1,,,,,,
heartless,-2,,,,,,
heartwarm,1,,,,,,
heaven,2,,,,,,
heavenly,2,,,,,,
hectic,-1,,,,,,
hedge,-1,,,,,,
heedless,-2,,,,,,
hehe,2,,,,,,
heinous,-1,,,,,,
helep,1,,,,,,
hell,-2,,,,,,
hellish,-2,,,,,,
helpful,2,,,,,,
helpless,-2,,,,,,
hemorrhage,-1,,,,,,
hero,2,,,,,,
heroic,2,,,,,,
hesita,-1,,,,,,
hex,-1,,,,,,
hideous,-2,,,,,,
high,-1,,,,,,
highest,-1,,,,,,
highly,1,,,,,,
hijack,-1,,,,,,
hilarious,-1,,,,,,
hilarity,1,,,,,,
hinder,-2,,,,,,
hinder,-1,,,,,,
hindrance,-2,,,,,,
hitless,1,,,,,,
hoard,-2,,,,,,
hobble,-2,,,,,,
hogwash,-2,,,,,,
hoho,1,,,,,,
hokey,-1,,,,,,
hold,1,,,,,,
hollow,-2,,,,,,
homeless,-1,,,,,,
homely,1,,,,,,
homesick,-1,,,,,,
homie,2,,,,,,
homo,-1,,,,,,
honest,1,,,,,,
honest,2,,,,,,
honestly,1,,,,,,
honesty,2,,,,,,
honey,1,,,,,,
honor,1,,,,,,
honorable,2,,,,,,
honour,1,,,,,,
honourable,2,,,,,,
hooey,-2,,,,,,
hook,-1,,,,,,
hooligan,-1,,,,,,
hope,1,,,,,,
hoped,1,,,,,,
hopeful,1,,,,,,
hopefully,1,,,,,,
hopefulness,2,,,,,,
hopeless,-1,,,,,,
hopes,2,,,,,,
hoping,2,,,,,,
horde,-2,,,,,,
horr,-1,,,,,,
horrendous,-1,,,,,,
horrible,-2,,,,,,
horrific,-1,,,,,,
horrify,-1,,,,,,
huffy,-1,,,,,,
hug,1,,,,,,
huge,2,,,,,,
hugg,1,,,,,,
hugs,1,,,,,,
humble,2,,,,,,
humbled,2,,,,,,
humbly,2,,,,,,
humiliate,2,,,,,,
humiliated,-2,,,,,,
humor,1,,,,,,
humorless,-1,,,,,,
humour,1,,,,,,
humourless,-1,,,,,,
hunger,-1,,,,,,
hungr,-2,,,,,,
hunter,-2,,,,,,
hurra,1,,,,,,
hurt,-1,,,,,,
hurtl,1,,,,,,
hustle,-2,,,,,,
hustler,-2,,,,,,
hypochondriac,-2,,,,,,
hypocrisy,-2,,,,,,
hypocrite,-1,,,,,,
hysteria,-2,,,,,,
hysterical,-2,,,,,,
idioc,-1,,,,,,
idiot,-1,,,,,,
idiotic ,-1,,,,,,
idle,-1,,,,,,
idleness,-2,,,,,,
ignoble,-2,,,,,,
ignominy,-1,,,,,,
ignor,-1,,,,,,
ignorant,-1,,,,,,
ignore,1,,,,,,
ignore,-1,,,,,,
ignoring,1,,,,,,
ill,-2,,,,,,
illegal,-2,,,,,,
illegality,-2,,,,,,
illegally,-2,,,,,,
illegitimate,-2,,,,,,
illicit,-1,,,,,,
illiterate,-1,,,,,,
illness,-2,,,,,,
illogical,-2,,,,,,
ill-treatment ,-1,,,,,,
ill-usage ,-1,,,,,,
imaginative,2,,,,,,
imbecile,-2,,,,,,
imgbeke,-1,,,,,,
imitation,-2,,,,,,
imitative,-1,,,,,,
immaculate,2,,,,,,
immature,-2,,,,,,
immobility,-2,,,,,,
immoral,-1,,,,,,
immorality,-1,,,,,,
immortal,2,,,,,,
immovable,-2,,,,,,
impair,-2,,,,,,
impaired,-1,,,,,,
impairment,-1,,,,,,
impatient,-1,,,,,,
impeach,-1,,,,,,
impede,-2,,,,,,
impediment,-2,,,,,,
imperfect,-2,,,,,,
impersonal,-1,,,,,,
impetuous,-2,,,,,,
implement,1,,,,,,
implicate,-1,,,,,,
implore,-1,,,,,,
impolite,-1,,,,,,
impose,-1,,,,,,
impossible,-2,,,,,,
impoverish,-1,,,,,,
imprecate,-1,,,,,,
imprecision,-2,,,,,,
impress,2,,,,,,
impression,1,,,,,,
impressive,1,,,,,,
imprison,-2,,,,,,
imprisoned,-1,,,,,,
improbable,1,,,,,,
improp,-2,,,,,,
improper,-1,,,,,,
improve,2,,,,,,
improving,2,,,,,,
impulsive ,-1,,,,,,
impure,-2,,,,,,
impurity,-2,,,,,,
inability,-2,,,,,,
inaccessible,-1,,,,,,
inaccuracy,-2,,,,,,
inactivate,-1,,,,,,
inactive,-2,,,,,,
inadvertent,-1,,,,,,
inane,-2,,,,,,
inappropriate,-2,,,,,,
inauspicious,-1,,,,,,
incapable,-2,,,,,,
incapable,-1,,,,,,
incapacitate,-1,,,,,,
incapacitated,-1,,,,,,
incarcerate,-1,,,,,,
incentive,1,,,,,,
incessant,-1,,,,,,
incision,-1,,,,,,
incompetent,-2,,,,,,
incomplete,-1,,,,,,
inconsiderate,-1,,,,,,
inconsistent,-1,,,,,,
incorrect,-2,,,,,,
incorrectly,-1,,,,,,
incredible,1,,,,,,
incriminate ,-1,,,,,,
incrimination,-1,,,,,,
inculpation,-1,,,,,,
incurable,-2,,,,,,
indecis,-2,,,,,,
indefatigably,1,,,,,,
indefinite,-2,,,,,,
indemnify,1,,,,,,
indictment,-2,,,,,,
indifference,-2,,,,,,
indifferent,-2,,,,,,
indignation,-1,,,,,,
indolent,-1,,,,,,
indomie,-1,,,,,,
indue,1,,,,,,
indulge,-1,,,,,,
indurate,-1,,,,,,
industrious,1,,,,,,
ineffect,-2,,,,,,
ineffective,-1,,,,,,
inefficiency,-2,,,,,,
inefficient,-2,,,,,,
inexact,-2,,,,,,
inexhaustibly,1,,,,,,
inexpensive,-1,,,,,,
inexplicable,-2,,,,,,
infamous,-2,,,,,,
infect,-2,,,,,,
infer,-1,,,,,,
inferior ,-2,,,,,,
infest,-1,,,,,,
infiltrate,-1,,,,,,
inflame,-2,,,,,,
inflation,-2,,,,,,
inflict,-2,,,,,,
infract,-2,,,,,,
infraction,-2,,,,,,
infringe,-1,,,,,,
infringement,-2,,,,,,
infuriate,-2,,,,,,
infuriating,-2,,,,,,
infuriated,-2,,,,,,
ingenuous,1,,,,,,
ingratitude,-2,,,,,,
inhuman,-1,,,,,,
injunction,-2,,,,,,
injure,-1,,,,,,
injured,-1,,,,,,
injurious,-2,,,,,,
injury,-2,,,,,,
injustice,-1,,,,,,
innocent,1,,,,,,
innumerable,-1,,,,,,
insane,-1,,,,,,
inscribe,-1,,,,,,
insecure,-1,,,,,,
insensate,-1,,,,,,
insensible,-2,,,,,,
insensitive,-1,,,,,,
insidelife ,-1,,,,,,
insidious,-1,,,,,,
insignificant,-1,,,,,,
insolence,-2,,,,,,
insolent,-2,,,,,,
insolvent,-2,,,,,,
inspirational,1,,,,,,
inspire,1,,,,,,
inspiring,1,,,,,,
instability,-2,,,,,,
instable,-2,,,,,,
insubstantial,-1,,,,,,
insufficient,-2,,,,,,
insult,-1,,,,,,
insulting,-1,,,,,,
intellect,1,,,,,,
intellectual,1,,,,,,
intelligent,1,,,,,,
intensify,-1,,,,,,
interdict,-1,,,,,,
interest,1,,,,,,
interested,1,,,,,,
interesting,1,,,,,,
interestingly,1,,,,,,
interfere,-1,,,,,,
interrupt,-1,,,,,,
intervene,-1,,,,,,
intimidate,-1,,,,,,
intolerable,-1,,,,,,
intolleran,-1,,,,,,
intoxicate,-2,,,,,,
intrusion,-2,,,,,,
inundate,-2,,,,,,
inundation,-1,,,,,,
invade,-2,,,,,,
invalid,-1,,,,,,
invalidate,-1,,,,,,
invaluable,-1,,,,,,
invest,1,,,,,,
inveterate,-1,,,,,,
invidious,-1,,,,,,
invigor,2,,,,,,
invisible,-2,,,,,,
invisible,-1,,,,,,
involuntary,-2,,,,,,
irk,-2,,,,,,
ironic,-2,,,,,,
ironically,-1,,,,,,
irony,-2,,,,,,
irradiate,1,,,,,,
irrational,-1,,,,,,
irregular,-2,,,,,,
irregular,-1,,,,,,
irrelevant,-1,,,,,,
irreplaceable,1,,,,,,
irrespective,-1,,,,,,
irresponsible,-1,,,,,,
irritate,-1,,,,,,
irritated,-1,,,,,,
irritation,-1,,,,,,
issue,-2,,,,,,
itching,-1,,,,,,
jackass,-2,,,,,,
jaded,-1,,,,,,
jagajaga,-2,,,,,,
jagbajantis,-2,,,,,,
jaguda,-2,,,,,,
jail,-2,,,,,,
jailed,-1,,,,,,
jam,-1,,,,,,
jamesbond,-1,,,,,,
jass,1,,,,,,
jazz,-1,,,,,,
jealous,-1,,,,,,
jeer,-1,,,,,,
jeje,1,,,,,,
jejeli,2,,,,,,
jejely,1,,,,,,
jelorsi,-1,,,,,,
jeopardise,-2,,,,,,
jeopardize,-2,,,,,,
jeopardy,-2,,,,,,
jerk,-1,,,,,,
jerked,-1,,,,,,
jerks,-1,,,,,,
jerky,-1,,,,,,
jinja,2,,,,,,
jinx,-1,,,,,,
jittery,-2,,,,,,
jjc,-1,,,,,,
jobless,-1,,,,,,
joke,-1,,,,,,
joking,1,,,,,,
joli,1,,,,,,
jolliet,1,,,,,,
jolly,1,,,,,,
jollyficate,1,,,,,,
jonz,-1,,,,,,
jonze,-1,,,,,,
joo,-1,,,,,,
jor,-1,,,,,,
joy,2,,,,,,
joyrid,-2,,,,,,
joystick,1,,,,,,
jumpy,-2,,,,,,
junk,-2,,,,,,
kakaraka,1,,,,,,
kala,-2,,,,,,
kamkpe,1,,,,,,
kampe,1,,,,,,
kanji,-1,,,,,,
kari,1,,,,,,
karimi,1,,,,,,
kasala,-2,,,,,,
kash,-1,,,,,,
katakata,-1,,,,,,
keen,1,,,,,,
keep,1,,,,,,
keli,-1,,,,,,
kick,-1,,,,,,
kidding,1,,,,,,
kidnap,-2,,,,,,
kill,-2,,,,,,
killed,-1,,,,,,
killer,-2,,,,,,
killing,-2,,,,,,
killjoy,-2,,,,,,
kilode,-1,,,,,,
kind,2,,,,,,
kindn,2,,,,,,
kiss,1,,,,,,
knack,-1,,,,,,
koko,1,,,,,,
kolo,-2,,,,,,
kolobi,-1,,,,,,
komot,-1,,,,,,
kondo,-1,,,,,,
kpafuka,-1,,,,,,
kpai,-1,,,,,,
kpako,-1,,,,,,
kpanda,-1,,,,,,
kpeme,-1,,,,,,
kpk,1,,,,,,
kpompi,1,,,,,,
kpuf,-1,,,,,,
kvetch,1,,,,,,
lack,-2,,,,,,
laf,1,,,,,,
laff,1,,,,,,
laidback,2,,,,,,
lailai,-1,,,,,,
lame,-1,,,,,,
lament,-1,,,,,,
languish,-1,,,,,,
lapse,-2,,,,,,
large,1,,,,,,
laslas,1,,,,,,
